llave_sintetica,k
B_07_2_5-9,22
B_07_2_50-54,17
B_07_2_55-59,15
B_07_2_60-64,16
B_07_2_65-69,14
B_07_2_70-74,19
B_07_2_75-79,7
B_07_2_80-84,7
B_07_2_85 y más,14
B_07_2_Menor de 1,30
B_08_1_10-14,29
B_08_1_15-19,33
B_08_1_20-24,44
B_08_1_25-29,35
B_08_1_30-34,46
B_08_1_35-39,31
B_08_1_40-44,41
B_08_1_45-49,38
B_08_1_5-9,28
B_08_1_50-54,17
B_08_1_55-59,15
B_08_1_60-64,17
B_08_1_65-69,5
B_08_1_70-74,6
B_08_1_75-79,12
B_08_1_80-84,9
B_08_1_85 y más,4
B_08_1_Menor de 1,20
B_08_2_1-4,43
B_08_2_10-14,12
B_08_2_15-19,19
B_08_2_20-24,23
B_08_2_25-29,23
B_08_2_30-34,30
B_08_2_35-39,21
B_08_2_40-44,21
B_08_2_45-49,15
B_08_2_5-9,27
B_08_2_50-54,9
B_08_2_55-59,10
B_08_2_60-64,6
B_08_2_65-69,6
B_08_2_70-74,5
B_08_2_75-79,3
B_08_2_80-84,3
B_08_2_85 y más,1
B_08_2_Menor de 1,18
B_09_1_80-84,41
B_09_1_85 y más,46
B_09_2_80-84,42
B_09_2_85 y más,43
B_10_1_1-4,16
B_10_1_10-14,9
B_10_1_15-19,15
B_10_1_20-24,17
B_10_1_25-29,28
B_10_1_30-34,23
B_10_1_35-39,12
B_10_1_40-44,30
B_10_1_45-49,10
B_10_1_5-9,3
B_10_1_50-54,22
B_10_1_55-59,12
B_10_1_60-64,20
B_10_1_65-69,10
B_10_1_70-74,13
B_10_1_75-79,10
B_10_1_80-84,7
B_10_1_85 y más,4
B_10_1_Menor de 1,8
B_10_2_1-4,13
B_10_2_10-14,12
B_10_2_15-19,10
B_10_2_20-24,6
B_10_2_25-29,11
B_10_2_30-34,16
B_10_2_35-39,13
B_10_2_40-44,11
B_10_2_45-49,7
B_10_2_5-9,14
B_10_2_50-54,9
B_10_2_55-59,11
B_10_2_60-64,5
B_10_2_65-69,3
B_10_2_70-74,13
B_10_2_75-79,9
B_10_2_80-84,7
B_10_2_85 y más,7
B_10_2_Menor de 1,3
B_11_1_1-4,35
B_11_1_10-14,19
B_11_1_15-19,21
B_11_1_20-24,23
B_11_1_25-29,27
B_11_1_30-34,28
B_11_1_35-39,26
B_11_1_40-44,20
B_11_1_45-49,12
B_11_1_5-9,32
B_11_1_50-54,13
B_11_1_55-59,11
B_11_1_60-64,24
B_11_1_65-69,11
B_11_1_70-74,15
B_11_1_75-79,20
B_11_1_80-84,20
B_11_1_85 y más,19
B_11_1_Menor de 1,11
B_11_2_1-4,35
B_11_2_10-14,18
B_11_2_15-19,14
B_11_2_20-24,20
